gloss,text
"FOR SE REASON , X-I CAN DESC-NOT VOTE IN FAVOR THIS REPORT .
","for these reasons , I cannot vote in favour of this report .
"
"DESC-UNFORTUNATELY , X-I DO DESC-NOT HAVE ANY OPTION DESC-OR THAN TO VOTE AGAINST THIS TEXT .
","unfortunately , I did not have any option other than to vote against this text .
"
"DESC-HOWEVER , X-I BE FROM COUNTRY WHICH HAVE DESC-NOT RECOGNIZE KOSOVO X-POSS INDEPENDENCE .
","however , I am from a country which has not recognised kosovo's independence .
"
"X-I REGRET THAT POSITION STATE WHICH DO DESC-NOT RECOGNIZE KOSOVO X-POSS INDEPENDENCE BE DESC-NOT GIVE DESC-GREATER CONSIDERATION .
","i regret that the position of states which do not recognise kosovo's independence was not given greater consideration .
"
"MR PRESIDENT , X-I VOTE IN FAVOR RESOLUTION .
","mr president , I voted in favour of the resolution .
"
"KOSOVO CAN BE CONSIDER DESC-LAST PIECE IN COMPLEX BALKAN DESC-POLITICAL PUZZLE .
","kosovo can be considered the last piece in the complex balkan political puzzle .
"
"INDEPENDENCE KOSOVO HAVE DESC-ALREADY BE RECOGNIZE BY 69 COUNTRY , INCLUDE 22 EU MEMBER STATE .
","the independence of kosovo has already been recognised by 69 countries , including 22 eu member states .
"
"KOSOVO BE DESC-NOT EXCEPTION .
","kosovo is not an exception .
"
"THAT BE DESC-CRUCIAL POINT .
","that is a crucial point .
"
"MOST MEMBER STATE HAVE DESC-NOW DO THIS .
","most member states have now done this .
"
"X-I BE DESC-EARLY SUPPORTER KOSOVAN INDEPENDENCE .
","i was an early supporter of kosovan independence .
"
"DESC-RE BE CONFLICT BETWEEN SUPRANATIONALISM AND DEMOCRACY .
","there is a conflict between supranationalism and democracy .
"
"X-WE SHOULD RECOGNIZE X-IT .
","we should recognise it .
"
"ALBANIUM BE DESC-CERTAINLY COUNTRY WHICH HAVE MAKE DESC-TANGIBLE PROGRESS IN CONTEXT REFORM PROCESS .
","albania is certainly a country which has made tangible progress in the context of the reform process .
"
"DESC-POLITICAL CRISIS FOLLOW JUNE 2009 DESC-PARLIAMENTARY ELECTION BE DESC-DEPLORABLE .
","the political crisis following the june 2009 parliamentary elections is deplorable .
"
"DE MR PRESIDENT , EX COMMUNIST DESC-SOCIALIST IN ALBANIUM BE TRY TO DESTABILISE DESC-SUCCESSFUL GOVERNMENT DESC-RE .
","de mr president , the ex communist socialists in albania are trying to destabilise the successful government there .
"
"THIS BE DESC-NOT CASE , AND X-I DESC-ALSO SAY THIS TO MR F?LE YESTERDAY .
","this was not the case , and I also said this to mr füle yesterday .
"
"EU COMMISSIONER MUST DESC-NOT BE ABUSE FOR PURPOSE DESC-SOCIALIST PROPAGANDA AND FOR DESC-INTERNAL DESC-POLITICAL END .
","an eu commissioner must not be abused for the purpose of socialist propaganda and for internal political ends .
"
"MACEDONIAN GOVERNMENT HAVE DESC-DEMOCRATIC LEGITIMACY .
","the macedonian government has democratic legitimacy .
"
"X-IT DO DESC-FIRST CLASS WORK AND X-IT BE PUT COUNTRY ON PATH TOWARDS EUROPEAN UNION MEMBERSHIP .
","it does first class work and it is putting the country on the path towards european union membership .
"
"AID TO KYRGYZSTAN SHOULD BE TARGET AT PEOPLE AND DESC-NOT AT SPECIFIC GOVERNMENT .
","aid to kyrgyzstan should be targeted at people and not at a specific government .
"
"UZBEKISTAN HAVE DESC-DIFFERENT OPINION IN THIS QUESTION .
","uzbekistan has a different opinion in this question .
"
"AS REPORT INDICATE , DESC-SEVERAL DESC-HUMAN RIGHTS ACTIVIST HAVE BE ARREST WITHOUT DESC-DUE CAUSE IN KYRGYZSTAN .
","as the report indicates , several human rights activists have been arrested without due cause in kyrgyzstan .
"
"SE FACT MUST BE BEAR IN MIND WHEN EVALUATE EUROPEAN UNION STRATEGY TOWARDS EXIST DESC-POLITICAL POWER IN KYRGYZSTAN .
","these facts must be borne in mind when evaluating european union strategy towards the existing political power in kyrgyzstan .
"
"THOSE COUNTRY DESC-ALSO HAVE DESC-SIGNIFICANT INFLUENCE IN THIS REGION .
","those countries also have significant influence in this region .
"
"THAT BE WHY X-I SUPPORT THIS REPORT , SINCE THIS INVESTIGATION BE DESC-DESPERATELY DESC-NECESSARY .
","that is why I support this report , since this investigation is desperately necessary .
"
"THANK X-YOU .
","thank you .
"
"X-IT STATE THAT IN 2008 DESC-ALONE , 2.7 MILLION MORE PEOPLE BE INFECT .
","it states that in 2008 alone , 2.7 million more people were infected .
"
"EU HAVE INVEST BILLION EURO AND NUMBER PEOPLE INFECT BE INCREASE .
","the eu has invested billions of euros and the number of people infected is increasing .
"
"HAVE X-IT DESC-ALREADY BE 30 YEAR ?
","has it already been 30 years ?
"
"POLICY DESC-SEXUAL AND DESC-REPRODUCTIVE RIGHTS WILL DESC-NOT HELP AFRICA .
","a policy of sexual and reproductive rights will not help africa .
"
"DE MR PRESIDENT , DESC-COMMON DESC-AGRICULTURAL POLICY BE SUCCESS STORY .
","de mr president , the common agricultural policy is a success story .
"
"COURSE , DESC-RE BE DESC-NEW AND FUTURE TASK .
","of course , there are new and future tasks .
"
"SE INCLUDE DESC-GREEN GROWTH , DESC-RENEWABLE ENERGY AND COMBATE WORLD HUNGER .
","these include green growth , renewable energies and combating world hunger .
"
"X-WE MUST DESC-NOW WORK DESC-TOGER TO PROVIDE DESC-SUITABLE DESC-FINANCIAL RESOURCE FOR SE DESC-POLITICAL TASK .
","we must now work together to provide suitable financial resources for these political tasks .
"
"EUROPE HAVE DUTY TO GUARANTEE FOOD SECURITY FOR X-ITS CITIZEN .
","europe has a duty to guarantee food security for its citizens .
"
"EUROPE MUST GUARANTEE DESC-SUITABLE LIVELIHOOD FOR DESC-RURAL COMMUNITY .
","europe must guarantee a suitable livelihood for rural communities .
"
"X-WE MUST PRODUCE AND MAINTAIN DESC-HEALTHY ENVIRONMENT DESC-HERE .
","we must produce and maintain a healthy environment here .
"
"X-WE FARMER NEED DESC-FAIR WAGE .
","our farmers need a fair wage .
"
"PL X-I ENDORSE THIS REPORT .
","pl I endorsed this report .
"
"THIS BE DESC-NOT DESC-INCONSISTENT WITH DESC-FREE MARKET PRINCIPLE .
","this is not inconsistent with free market principles .
"
"NUMBER DESC-YOUNG FARMER CONTINUE TO FALL , WHILE X-WE HAVE INCREASE NUMBER DESC-OLDER FARMER .
","the number of young farmers continues to fall , while we have increasing numbers of older farmers .
"
"FARMER HAVE HOLD PROTEST ABOUT THIS .
","farmers have held protests about this .
"
"IN SUMMARY , X-WE SHOULD AIM FOR DESC-SUSTAINABLE DEVELOPMENT AGRICULTURE AND DESC-RURAL AREA .
","in summary , we should aim for the sustainable development of agriculture and rural areas .
"
"LV THANK X-YOU , MR PRESIDENT .
","lv thank you , mr president .
"
"X-IT STRESS THAT FINANCE FOR POLICY MUST BE PRESERVE FOR AT DESC-LEAST NEXT DESC-LONG TERM DESC-FINANCIAL PERIOD .
","it stresses that financing for the policy must be preserved for at least the next long term financial period .
"
"DESC-SECONDLY , X-IT REQUIRE THAT DESC-DIRECT PAYMENT TO FARMER BE DESC-FULLY FINANCE FROM EUROPEAN UNION BUDGET .
","secondly , it requires that direct payments to farmers be fully financed from the european union budget .
"
"SE DESC-DESTRUCTIVE DISCREPANCY DISTORT COMPETITION AND WHOLE EUROPEAN UNION MARKET .
","these destructive discrepancies distort competition and the whole european union market .
"
"F X-I MR PRESIDENT , X-I HAVE TO SAY THAT X-I VOTE IN FAVOR LYON REPORT .
","fi mr president , I have to say that I voted in favour of the lyon report .
"
"ON DESC-FEW POINT X-I HAVE WHAT X-I MIGHT CALL DESC-NATIONAL RESERVATION , OR X-I VOTE BIT DESC-DIFFERENTLY .
","on a few points I had what I might call national reservations , or I voted a bit differently .
"
"THAT BE WHY X-I INTRODUCE DESC-FEW DEROGATION WHEN X-I VOTE .
","that is why I introduced a few derogations when I voted .
"
"EVERY MEMBER STATE NEED X-ITS DESC-OWN AGRICULTURE AND HAVE TO ENSURE THAT X-IT BE PRESERVE .
","every member state needs its own agriculture and has to ensure that it is preserved .
"
"MR PRESIDENT , X-I VOTE AGAINST LYON REPORT BECAUSE ALL OVER EUROPE GOVERNMENT BE CUT X-Y BUDGET .
","mr president , I voted against the lyon report because all over europe governments are cutting their budgets .
"
"IN UNITE KINGDOM NURSE AND TEACHER FACE CUT IN X-Y PAY AND PENSION .
","in the united kingdom nurses and teachers face cuts in their pay and pensions .
"
"POLICE NUMBER BE BE CUT AND PRISONER BE BE RELEASE BECAUSE X-WE CAN DESC-NOT AFFORD TO KEEP X-Y IN PRISON .
","police numbers are being cut and prisoners are being released because we cannot afford to keep them in prison .
"
"X-I FIND THAT DESC-ENTIRELY DESC-UNACCEPTABLE .
","i find that entirely unacceptable .
"
"GOVERNMENT IN UK AND GOVERNMENT ACROSS EUROPE BE SAY X-WE BE ALL IN THIS DESC-TOGER .
","the government in the uk and governments across europe are saying we are all in this together .
"
"IF X-WE BE IN X-IT DESC-TOGER , X-WE ALL HAVE TO FEEL PAIN DESC-TOGER .
","if we are in it together , we all have to feel the pain together .
"
"SCRAP CAP WOULD ALLOW DESC-EFFICIENT FARMER TO THRIVE .
","scrapping the cap would allow efficient farmers to thrive .
"
"REFORM BE DESC-NOT DESC-ENOUGH X-IT BE TIME TO SCRAP CAP .
","reform is not enough it is time to scrap the cap .
"
"F X-I MR PRESIDENT , X-I VOTE IN FAVOR LYON REPORT .
","fi mr president , I voted in favour of the lyon report .
"
"X-Y BE NEED TO GUARANTEE FOOD SUPPLY AS DESC-WELL AS DESC-SUSTAINABLE DEVELOPMENT .
","they are needed to guarantee the food supply as well as sustainable development .
"
"DESC-FIRST ONE BE DESC-ENVIRONMENTAL , DESC-SOCIAL AND DESC-QUALITATIVE NATURE .
","the first one is of an environmental , social and qualitative nature .
"
"DESC-SECOND ASPECT BE DESC-ECONOMIC ONE .
","the second aspect is an economic one .
"
"LV THANK X-YOU .
","lv thank you .
"
"FOR THIS REASON , X-I SUPPORT THIS REPORT , WHICH CALL FOR DESC-CURRENT SITUATION TO BE CHANGE .
","for this reason , I supported this report , which calls for the current situation to be changed .
"
"AND DESC-FINALLY , X-WE MUST DO DESC-MUCH MORE TO PROMOTE AQUACULTURE .
","and finally , we must do much more to promote aquaculture .
"
"THAT WOULD DESC-GREATLY HELP TO SOLVE THIS PROBLEM .
","that would greatly help to solve this problem .
"
"MR PRESIDENT , X-I WOULD LIKE TO THANK X-YOU AND ALL X-YOU STAFF FOR ALL X-YOU PATIENCE .
","mr president , I would like to thank you and all your staff for all your patience .
"
"DESC-SURELY X-IT BE TIME TO LEARN FROM LESSON DESC-SUCCESSFUL FISH PRESERVATION AND CONSERVATION .
","surely it is time to learn from the lessons of successful fish preservation and conservation .
"
"WRITE EXPLANATION VOTE
","written explanations of vote
"
"NOTERROR AGREEMENTRESPECT GRASSROOT FREEDOM .
","noterror agreementrespects grassroots freedoms .
"
"TODAY , TERM THIS AGREEMENT HAVE BE DESC-CONSIDERABLY IMPROVE , IN INTEREST EUROPEAN CITIZEN .
","today , the terms of this agreement have been considerably improved , in the interest of european citizens .
"
"AGREEMENT BE DESC-SIGNIFICANT STEP DESC-FORWARD COMPARE TO DESC-PREVIOUS VERSION .
","the agreement is a significant step forward compared to the previous version .
"
"GIVE DESC-HIGHLY DESC-SENSITIVE NATURE DESC-PERSONAL DATUM TRANSFER , X-I COULD DESC-NOT VOTE FOR THIS AGREEMENT .
","given the highly sensitive nature of the personal data transferred , I could not vote for this agreement .
"
"AGREEMENT STATE THAT EUROPE WILL DEVELOP X-ITS DESC-OWN SYSTEM FOR COLLECTION AND SORT BANK DETAIL .
","the agreement states that europe will develop its own system for the collection and sorting of bank details .
"
"THAT WILL OFFER OPPORTUNITY TO INDIVIDUALISE TRANSFER .
","that will offer the opportunity to individualise transfers .
"
"FROM THAT MOMENT ON , ISSUE RECIPROCITY WILL BECOME DESC-RELEVANT .
","from that moment on , the issue of reciprocity will become relevant .
"
"EUROPOL WILL BE CHARGE WITH TASK VERIFY AND APPROVE X-WE REQUEST .
","europol will be charged with the task of verifying and approving us requests .
"
"UNDER PRESSURE FROM EUROPEAN PARLIAMENT , AGREEMENT WHICH X-WE HAVE DESC-ALREADY CONCLUDE BE COME DESC-UP FOR REVIEW .
","under pressure from the european parliament , the agreement which we have already concluded is coming up for review .
"
"DESC-NEW AGREEMENT STRIKE BALANCE BETWEEN PROTECT PRIVACY AND GUARANTEE SECURITY .
","the new agreement strikes a balance between protecting privacy and guaranteeing security .
"
"IN MEANTIME , FIGHT AGAINST TERRORISM WILL REMAIN X-WE OVERRIDE CONCERN .
","in the meantime , the fight against terrorism will remain our overriding concern .
"
"WHILE THIS AGREEMENT BE DESC-SATISFACTORY , DESC-CERTAIN POINT COULD DESC-STILL HAVE BE IMPROVE .
","while this agreement is satisfactory , certain points could still have been improved .
"
"THIS MEASURE WILL LEAD TO DESC-GROSS VIOLATION DESC-PERSONAL PRIVACY .
","this measure will lead to a gross violation of personal privacy .
"
"DESC-CONFIDENTIAL AND DESC-PRIVATE DESC-FINANCIAL DATUM BELONG TO INDIVIDUAL AND DESC-NOT TO EU OR EUROPEAN PARLIAMENT .
","confidential and private financial data belongs to the individual and not to the eu or the european parliament .
"
"THIS BE MATTER FOR DESC-NATIONAL GOVERNMENT TO DECIDE , AND DESC-NOT FOR EUROPEAN PARLIAMENT .
","this is a matter for national governments to decide , and not for the european parliament .
"
"THIS DESC-NEW AGREEMENT BE DESC-BETTER THAN DESC-PREVIOUS ONE .
","this new agreement is better than the previous one .
"
"THIS AGREEMENT , DESC-HOWEVER , CONTINUE TO ALLOW MASS TRANSFER DATUM BULK DATUM .
","this agreement , however , continues to allow the mass transfer of data bulk data .
"
"CHOICE EUROPOL BE DESC-WRONG .
","the choice of europol is wrong .
"
"EUROPOL BE NEIR DESC-JUDICIAL AUTHORITY NOR DATUM PROTECTION AUTHORITY .
","europol is neither a judicial authority nor a data protection authority .
"
"PT FIGHT AGAINST TERRORISM MUST BE PRIORITY FOR EUROPEAN UNION .
","in writing . pt the fight against terrorism must be a priority for the european union .
"
"X-I BE DESC-REFORE VOTE IN FAVOR MEASURE PROPOSE IN THIS REPORT .
","i am therefore voting in favour of the measures proposed in this report .
"
"THANKS TO ACTION MP AND X-WE GROUP IN DESC-PARTICULAR , DESC-NEW VERSION BE DRAW DESC-UP .
","thanks to the action of mps and of our group in particular , a new version was drawn up .
"
"X-IT CONTAIN DESC-SIGNIFICANT UNDERLIE IMPROVEMENT , DESC-SUCH AS ELIMINATION OFBULKDA TRANSFER .
","it contains significant underlying improvements , such as the elimination ofbulkdata transfers .
"
"THAT BE WHY X-I CHOOSE TO VOTE IN FAVOR DESC-NEW AGREEMENT .
","that is why I chose to vote in favour of the new agreement .
"
"DESC-FEW MONTH DESC-AGO DESC-FIRST VERSION AGREEMENT BE DESC-TOO DESC-VAGUE AND DO DESC-NOT OFFER DESC-SIMILAR GUARANTEE .
","a few months ago the first version of the agreement was too vague and did not offer similar guarantees .
"
"THAT BE WHY X-WE SAIDNO .
","that is why we saidno.
"
"COMMISSION SHOULD CARRY OUT THIS TASK IN DESC-ASSIDUOUS AND DESC-TIMELY FASHION .
","the commission should carry out this task in an assiduous and timely fashion .
"
"ARTICLE 15 AND 16 ENSURE THAT CITIZEN HAVE STRENGN ACCESS TO REDRESS AND INCREASE TRANSPARENCY .
","articles 15 and 16 ensure that citizens have strengthened access to redress and increased transparency .
"
"DESC-NEW VERSION BE IMPROVEMENT ON DESC-LAST ONE .
","the new version is an improvement on the last one .
"
"X-IT BE DESC-UNFORTUNATE THAT MAJORITY IN PARLIAMENT HAVE DESC-NOW VOTE IN FAVOR THIS AGREEMENT .
","it is unfortunate that the majority in parliament have now voted in favour of this agreement .
"
"X-WE DESC-RAR SUPPORT MORE DESC-SECURE SOCIETY WITH DESC-BROAD DESC-DEMOCRATIC RIGHTS AND FREEDOM .
","we rather support a more secure society with broad democratic rights and freedoms .
"
"DE FIGHT AGAINST TERRORISM REQUIRE DESC-INTERNATIONAL COOPERATION GOVERN BY AGREEMENT .
","in writing . de the fight against terrorism requires international cooperation governed by agreements .
"
"COMBATE TERRORISM MUST DESC-NOT BECOME EXCUSE FOR DESC-INADEQUATE DATUM PROTECTION .
","combating terrorism must not become an excuse for inadequate data protection .
"
"SE BE DESC-SERIOUS INFRINGEMENT DESC-FUNDAMENTAL RIGHTS .
","these are serious infringements of fundamental rights .
"
"DESC-HOWEVER , EUROPEAN UNION BE DESC-NOT PERMIT TO DESC-UNDULY CURTAIL EXIST DESC-FUNDAMENTAL RIGHTS .
","however , the european union is not permitted to unduly curtail existing fundamental rights .
"
"X-I DESC-REFORE DESC-STILL REJECT THIS SWIFT AGREEMENT .
","i therefore still reject this swift agreement .
"
"TODAY , AFTER DESC-CAREFUL CONSIDERATION , X-I VOTE IN FAVOR REVISE SWIFT AGREEMENT .
","today , after careful consideration , I voted in favour of the revised swift agreement .
"
"THIS DESC-NEW VERSION DESC-ALSO BRING IMPROVEMENT , IN DESC-PARTICULAR AS REGARD PURPOSE DATUM TRANSFER .
","this new version also brings improvements , in particular as regards the purpose of data transfer .
"
"IN VIEW IMPORTANCE DATUM PROTECTION , SPD DELEGATION DO DESC-NOT MAKE X-ITS DECISION DESC-LIGHTLY .
","in view of the importance of data protection , the spd delegation did not make its decision lightly .
"
"FOR X-WE , TOP PRIORITY BE LIMIT TRANSFER BULK DATUM .
","for us , the top priority was limiting the transfer of bulk data .
"
"SEPA DATUM BE DESC-NOT COVER BY AGREEMENT MOST TRANSFER BE DESC-NOT AFFECT AT ALL .
","sepa data are not covered by the agreement most transfers are not affected at all .
"
"DESC-NEW AGREEMENT BE VICTORY FOR ALL EUROPEAN INSTITUTION , AND FOR X-WE EUROPEAN PARLIAMENT IN DESC-PARTICULAR .
","the new agreement is a victory for all the european institutions , and for our european parliament in particular .
"
"X-I VOTE AGAINST THIS REPORT .
","i voted against this report .
"
"X-IT BE DESC-TANTAMOUNT TO APPROVAL UNITE STATE INTERFERENCE IN EUROPE WITH COMPLICITY BODY DESC-SUCH AS SWIFT .
","it is tantamount to approval of united states interference in europe with the complicity of bodies such as swift .
"
"X-IT DO DESC-NOT CALL FOR ANY DESC-GENUINE GUARANTEE PROTECTION SE DATUM OR OPPORTUNITY FOR REDRESS .
","it does not call for any genuine guarantee of the protection of these data or opportunities for redress .
"
"THIS REPORT AND AGREEMENT THAT X-IT RATIFY BE SYMBOL THIS EUROPE X-POSS ENSLAVEMENT BY AMERICAN IMPERIALISM .
","this report and the agreement that it ratifies are a symbol of this europe's enslavement by american imperialism .
"
"ALL MECHANISM THAT HELP TO DISCOVER DESC-POSSIBLE ATTACK BE DESC-FUNDAMENTAL TO THIS FIGHT X-POSS SUCCESS .
","all mechanisms that help to discover possible attacks are fundamental to this fight's success .
"
"PROJECT FOR SOLUTION APPROVE TODAY BE DESC-GOOD START POINT FOR DESC-DIFFICULT NEGOTIATION DESC-AHEAD WITH X-WE .
","the project for solution approved today is a good starting point for the difficult negotiations ahead with the us .
"
"DE DATUM PROTECTION WITH SWIFT AGREEMENT BE DESC-SIMPLY SHAM .
","in writing . de data protection with the swift agreement is simply a sham .
"
"X-I VOTE IN FAVOR ALVARO REPORT BECAUSE X-I CONSIDER X-IT DESC-IMPORTANT TO COMBAT TERRORISM .
","i voted in favour of the alvaro report because I consider it important to combat terrorism .
"
"TERRORISM BE THREAT AND AS DESC-SUCH MUST BE COMBATE .
","terrorism is a threat and as such must be combated .
"
"RE HASH SWIFT AGREEMENT DO DESC-VERY DESC-LITTLE TO CHANGE THIS SITUATION .
","the re hashed swift agreement does very little to change this situation .
"
"CITIZEN WOULD DESC-FIRST HAVE TO COPE WITH COST INSTITUTE DESC-LEGAL PROCEEDINGS IN UNITE STATE !
","citizens would first have to cope with the cost of instituting legal proceedings in the united states !
"
"WHAT BE DESC-FIRST CELEBRATE AS SUCCESS FOR EUROPEAN PARLIAMENT IN FEBRUARY HAVE DESC-NOW BECOME WASHOUT .
","what was first celebrated as a success for the european parliament in february has now become a washout .
"
"DESC-EVEN RAPPORTEUR ADMIT THAT X-HE BE DESC-NOT DESC-TOTALLY DESC-SATISFIED .
","even the rapporteur admits that he is not totally satisfied .
"
"X-IT DO DESC-NOT PROVIDE ANY DESC-REAL , DESC-EFFECTIVE DATUM PROTECTION AND SHOULD DESC-REFORE BE REJECT .
","it does not provide any real , effective data protection and should therefore be rejected .
"
"AGREEMENT DESC-ALSO MARK DESC-NEW PHASE IN PARLIAMENT X-POSS POWER , ENSURE EUROPEAN DESC-DEMOCRATIC OVERSIGHT DESC-INTERNATIONAL AGREEMENT .
","the agreement also marks a new phase in parliament's powers , ensuring european democratic oversight of international agreements .
"
"THIS COMMITMENT WILL IN MID TERM ENSURE TERMINATION BULK DATUM TRANSFER TO X-WE AUTHORITY .
","this commitment will in the mid term ensure the termination of bulk data transfers to the us authorities .
"
"X-I VOTE IN FAVOR DESC-NEW SWIFT AGREEMENT AT TODAY X-POSS DESC-PLENARY EUROPEAN PARLIAMENT .
","i voted in favour of the new swift agreement at today's plenary of the european parliament .
"
"THIS BE DESC-VERY DESC-IMPORTANT AGREEMENT WHICH AIM TO STAMP OUT TERRORISM AND ORGANISE CRIME BY COMBATE DESC-ILLEGAL FINANCING .
","this is a very important agreement which aims to stamp out terrorism and organised crime by combating illegal financing .
"
"X-IT BE DESC-IMPORTANT THAT THIS DESC-NEW AGREEMENT DESC-ALSO SAFEGUARD RESPECT FOR DESC-PERSONAL DATUM EUROPEAN CITIZEN .
","it is important that this new agreement also safeguards respect for the personal data of european citizens .
"
"DESC-NEW AGREEMENT REFER TO NEED TO CREATE EUROPEAN TFTP DESC-TERRORIST FINANCE TRACKING PROGRAM .
","the new agreement refers to the need to create a european tftp terrorist finance tracking program .
"
"THIS BE COMMITMENT WHICH NEED TO BE IMPLEMENT WITHIN FIVE YEAR .
","this is a commitment which needs to be implemented within five years .
"
"THIS BE DESC-NOT CASE DESC-HERE .
","this is not the case here .
"
"DESC-PRESENT AGREEMENT ENABLE TRANSFER BANKING DATUM , BUT INTRODUCE DESC-PROPER SECURITY AND PRIVACY SAFEGUARD .
","the present agreement enables the transfer of banking data , but introduces proper security and privacy safeguards .
"
"DESC-REAL CHANGE TOWARDS DESC-BINDING DESC-FUNDAMENTAL RIGHTS PROTECTION IN FIGHT AGAINST TERRORISM REQUIRE DESC-GREATER COURAGE AND EFFORT .
","a real change towards binding fundamental rights protection in the fight against terrorism requires greater courage and effort .
"
"DESC-TERRORIST ACT MUST BE PREVENT AND EVERY DESC-TERRORIST ACT MUST BE CONDEMN IN DESC-STRONGEST DESC-POSSIBLE TERM .
","terrorist acts must be prevented and every terrorist act must be condemned in the strongest possible terms .
"
"ON DESC-OR HAND , DESC-RE BE PROTECTION CITIZENSRIGHT .
","on the other hand , there is the protection of citizensrights .
"
"CITIZENSRIGHT BE DESC-NOT DESC-FOREGONE CONCLUSION X-WE HAVE FIGHT FOR X-Y .
","citizensrights are not a foregone conclusion we have fought for them .
"
"X-IT BE TOOL NATO STRATEGY AND WAR .
","it is a tool of the nato strategy and wars .
"
"X-IT WILL BE TOOL FOR APPLY PRECEDENCE COMMUNITY LAW OVER DESC-NATIONAL LAW STATE .
","it will be a tool for applying the precedence of community law over the national laws of the states .
"
"THIS COMPROMISE BE SUBJECT DESC-EXTENSIVE NEGOTIATION AND X-IT DESC-CURRENTLY SEEM DESC-SATISFACTORY AND DESC-BALANCED TO X-I .
","this compromise was the subject of extensive negotiations and it currently seems satisfactory and balanced to me .
"
"X-IT ALLOW EUROPEAN PARLIAMENT TO REINFORCE X-ITS PREROGATIVE AND PRESERVE COMMUNITY METHOD .
","it allows the european parliament to reinforce its prerogatives and preserve the community method .
"
"IN ADDITION , DESC-LATTER X-POSS BUDGET WILL BE SUBJECT TO DESC-POLITICAL CONTROL FROM PARLIAMENT .
","in addition , the latter's budget will be subject to political control from parliament .
"
"X-MY COUNTRY HAVE SHOW X-ITS COMMITMENT TO EUROPEAN CRISIS MANAGEMENT MISSION .
","my country has shown its commitment to european crisis management missions .
"
"EUROPEAN DESC-EXTERNAL ACTION SERVICE EEAS REPRESENT DESC-CONSIDERABLE PROGRESS IN THIS RESPECT .
","the european external action service eeas represents considerable progress in this respect .
"
"EUROPEAN INTEREST DESC-INITIAL DRAFT HAVE BE RETAIN .
","the european interest of the initial draft has been retained .
"
"X-I BE DESC-CONFIDENT THAT DESC-SUBSEQUENT NEGOTIATION ON ESTABLISHMENT EEAS WILL RESPECT THIS BALANCE .
","i am confident that subsequent negotiations on the establishment of the eeas will respect this balance .
"
"WILL MEMBER STATE NO DESC-LONGER BE DESC-FREE TO DEFINE X-Y DESC-OWN DESC-FOREIGN POLICY ?
","will the member states no longer be free to define their own foreign policy ?
"
"X-IT BE DESC-NOT DESC-ACCEPTABLE TO DESC-SOVEREIGN NATION FOR EUROPEAN ORGANIZATION TO SCRUTINISE X-ITS DESC-FOREIGN SERVICE .
","it is not acceptable to a sovereign nation for a european organisation to scrutinise its foreign service .
"
"X-IT BE DESC-NOT BUSINESS EP TO DO DESC-SO .
","it is not the business of the ep to do so .
"
"DESC-COMMON DESC-FOREIGN POLICY AND DESC-COMMON DESC-ECONOMIC POLICY BE DESC-NECESSARY OBJECTIVE EUROPEAN INTEGRATION PROCESS .
","a common foreign policy and a common economic policy are the necessary objectives of the european integration process .
"
"X-I DESC-WELCOME BROK REPORT AS AMEND .
","in writing . I welcome the brok report as amended .
"
"X-IT BE DESC-ESSENTIAL TO RESIST PROPOSAL TO SUBSUME DEVELOPMENT POLICY AS PART X-WE DESC-FOREIGN POLICY .
","it was essential to resist the proposal to subsume development policy as part of our foreign policy .
"
"X-WE NEED DESC-AUTONOMOUS DEVELOPMENT SERVICE DESC-ANSWERABLE TO DESC-AUTONOMOUS COMMISSIONER FOR DEVELOPMENT AND DESC-HUMANITARIAN AID .
","we need an autonomous development service answerable to an autonomous commissioner for development and humanitarian aid .
"
"X-WE NEED ENSURE IMPLEMENTATION BE PURSUE IN ACCORDANCE WITH SPIRIT AND LETTER AGREEMENT .
","we need ensure the implementation is pursued in accordance with the spirit and letter of the agreement .
"
"DESC-RE REMAIN ELEMENT PROPOSAL THAT COULD GIVE RISE TO DESC-DIFFERENT INTERPRETATION .
","there remain elements of the proposal that could give rise to different interpretations .
"
"RULE AND PRACTICE GOVERN LANGUAGE IN THIS SERVICE WILL REVEAL EXTENT X-ITS COMMITMENT TO DESC-EXTERNAL COMMUNICATION .
","the rules and practice governing languages in this service will reveal the extent of its commitment to external communication .
"
"HAVE NO OBJECTION TO DESC-PRESENT , X-I VOTE IN FAVOR APPROVAL THIS DECISION .
","having no objections to present , I voted in favour of the approval of this decision .
"
"DESC-SAME THING HAVE HAPPEN WITH REGARD TO EU INTELLIGENCE STRUCTURE .
","the same thing has happened with regard to the eu intelligence structures .
"
"X-WE , AS MEMBER EUROPEAN PARLIAMENT STRENGN BY TREATY , CAN HELP WITH THIS .
","we , as members of a european parliament strengthened by the treaty , can help with this .
"
"WHAT HAVE PARLIAMENT MANAGE TO WIN IN NEGOTIATION WITH DESC-HIGH REPRESENTATIVE ?
","what has parliament managed to win in the negotiations with the high representative ?
"
"DESC-FURRMORE , X-IT WILL HAVE EFFECT STRENGN EUROPEAN PARLIAMENT X-POSS DESC-POLITICAL AND DESC-BUDGETARY CONTROL POWER .
","furthermore , it will have the effect of strengthening the european parliament's political and budgetary control powers .
"
"X-I DESC-SINCERELY HOPE THAT DESC-BEST USE WILL BE MAKE THIS SERVICE IN INTEREST EUROPEAN UNION .
","i sincerely hope that best use will be made of this service in the interests of the european union .
"
