id,text,gloss
57767,"they are already in place in the us , in the netherlands and in other countries .","X-Y BE DESC-ALREADY IN PLACE IN X-WE , IN NERLAND AND IN DESC-OR COUNTRY ."
57768,"however , this raises the issue of whether body scanners will really make air travel safer .","DESC-HOWEVER , THIS RAISE ISSUE WHER BODY SCANNER WILL DESC-REALLY MAKE AIR TRAVEL DESC-SAFER ."
57769,this is one of the crucial questions that we must ask ourselves .,THIS BE ONE DESC-CRUCIAL QUESTION THAT X-WE MUST ASK X-OURSELVES .
57770,"there is , in fact , a whole series of questions relating to body scanners .","DESC-RE BE , IN FACT , WHOLE SERIES QUESTION RELATE TO BODY SCANNER ."
57771,what type of technology is being used ?,WHAT TYPE TECHNOLOGY BE BE USE ?
57772,what type of radiation do they emit ?,WHAT TYPE RADIATION DO X-Y EMIT ?
57773,can they cause damage to health ?,CAN X-Y CAUSE DAMAGE TO HEALTH ?
57774,what do they allow people to see ?,WHAT DO X-Y ALLOW PEOPLE TO SEE ?
57775,just a few green or red dots or the whole person who is being scanned ?,DESC-JUST DESC-FEW DESC-GREEN OR RED DOT OR WHOLE PERSON WHO BE BE SCAN ?
57776,"finally , can we ensure that the data is being protected ?","DESC-FINALLY , CAN X-WE ENSURE THAT DATUM BE BE PROTECT ?"
57777,"also , these scanners are expensive .","DESC-ALSO , SE SCANNER BE DESC-EXPENSIVE ."
57778,"if we are going to install them , who will be paying ?","IF X-WE BE GO TO INSTALL X-Y , WHO WILL BE PAY ?"
57779,there are a lot of questions to be answered and we are in the process of doing this .,DESC-RE BE LOT QUESTION TO BE ANSWER AND X-WE BE IN PROCESS DO THIS .
57780,you also want to do this and present us with a solution .,X-YOU DESC-ALSO WANT TO DO THIS AND DESC-PRESENT X-WE WITH SOLUTION .
57781,"whatever happens , we need a solution which covers the whole of europe .","WHATEVER HAPPEN , X-WE NEED SOLUTION WHICH COVER WHOLE EUROPE ."
57782,we also need to take into consideration tel aviv and the possibility of using another method .,X-WE DESC-ALSO NEED TO TAKE INTO CONSIDERATION TEL AVIV AND POSSIBILITY USE ANOR METHOD .
57783,we need to search for the bombers and not the bombs .,X-WE NEED TO SEARCH FOR BOMBER AND DESC-NOT BOMB .
57784,"these specifications covered privacy , data protection , human dignity , health and freedom of choice .","SE SPECIFICATION COVER PRIVACY , DATUM PROTECTION , DESC-HUMAN DIGNITY , HEALTH AND FREEDOM CHOICE ."
57785,"at heathrow airport in london , this equipment is being used without the element of freedom of choice .","AT HEATHROW AIRPORT IN LONDON , THIS EQUIPMENT BE BE USE WITHOUT ELEMENT FREEDOM CHOICE ."
57786,new equipment is being introduced in italy .,DESC-NEW EQUIPMENT BE BE INTRODUCE IN DESC-ITALY .
57787,the latest generation of scanners satisfy the requirements that parliament has laid down .,DESC-LATEST GENERATION SCANNER SATISFY REQUIREMENT THAT PARLIAMENT HAVE LAY DESC-DOWN .
57788,"if such spots are seen , the passengers in question are checked separately on the spot .","IF DESC-SUCH SPOT BE SEE , PASSENGER IN QUESTION BE CHECK DESC-SEPARATELY ON SPOT ."
57789,the latest scanners also do not have any effect on health .,DESC-LATEST SCANNER DESC-ALSO DO DESC-NOT HAVE ANY EFFECT ON HEALTH .
57790,the radiation they give off is less than that from mobile phones .,RADIATION X-Y GIVE OFF BE DESC-LESS THAN THAT FROM DESC-MOBILE PHONE .
57791,"what is more , the scanners are also user friendly .","WHAT BE MORE , SCANNER BE DESC-ALSO USER DESC-FRIENDLY ."
57792,"the queues at security will be shorter , as more passengers can be scanned every hour .","QUEUE AT SECURITY WILL BE DESC-SHORTER , AS MORE PASSENGER CAN BE SCAN EVERY HOUR ."
57793,that will therefore also make a difference to costs for air travellers .,THAT WILL DESC-REFORE DESC-ALSO MAKE DIFFERENCE TO COST FOR AIR TRAVELLER .
57794,"however , mr president , the latest scanners are additional security tools .","DESC-HOWEVER , MR PRESIDENT , DESC-LATEST SCANNER BE DESC-ADDITIONAL SECURITY TOOL ."
57795,profiling and good intelligence exchange are also very much required .,PROFILE AND DESC-GOOD INTELLIGENCE EXCHANGE BE DESC-ALSO DESC-VERY DESC-MUCH REQUIRE .
57796,"as far as I am concerned , we can quickly move on to implementing these tools as additional tools .","AS DESC-FAR AS X-I BE CONCERN , X-WE CAN DESC-QUICKLY MOVE ON TO IMPLEMENT SE TOOL AS DESC-ADDITIONAL TOOL ."
57797,this email spoke of thepost detroit era.,THIS EMAIL SPEAK POST DETROIT ERA .
57798,no surprise there .,NO SURPRISE DESC-RE .
57799,each machine cost eur 250 000 .,EACH MACHINE COST EUR 250 000 .
57800,"it did not , unless it refers to the era of sheer effrontery .","X-IT DO DESC-NOT , UNLESS X-IT REFER TO ERA SHEER EFFRONTERY ."
57801,european citizens also need to know that we in parliament have a responsibility .,EUROPEAN CITIZEN DESC-ALSO NEED TO KNOW THAT X-WE IN PARLIAMENT HAVE RESPONSIBILITY .
57802,"yes , we do indeed need to investigate terrorism .","DESC-YES , X-WE DO DESC-INDEED NEED TO INVESTIGATE TERRORISM ."
57803,i am sorry to say that these are incorrect .,X-I BE DESC-SORRY TO SAY THAT SE BE DESC-INCORRECT .
57804,the idea that the terrorist threat has not diminished is debatable and should be debated here .,IDEA THAT DESC-TERRORIST THREAT HAVE DESC-NOT DIMINISH BE DESC-DEBATABLE AND SHOULD BE DEBATE DESC-HERE .
57805,now we find ourselves debating the databases and police practices of the future .,DESC-NOW X-WE FIND X-OURSELVES DEBATE DATABASE AND POLICE PRACTICE FUTURE .
57806,is this where we want to end up ?,BE THIS WHERE X-WE WANT TO END DESC-UP ?
57807,can there be any greater mockery of human rights ?,CAN DESC-RE BE ANY DESC-GREATER MOCKERY DESC-HUMAN RIGHTS ?
57808,we are facing up to this challenge on both a technical and a parliamentary level .,X-WE BE FACE DESC-UP TO THIS CHALLENGE ON BOTH DESC-TECHNICAL AND DESC-PARLIAMENTARY LEVEL .
57809,i would like to say one thing first of all .,X-I WOULD LIKE TO SAY ONE THING DESC-FIRST ALL .
57810,"however , we can develop natural techniques that will allow us to come close to complete security asymptotically .","DESC-HOWEVER , X-WE CAN DEVELOP DESC-NATURAL TECHNIQUE THAT WILL ALLOW X-WE TO COME DESC-CLOSE TO DESC-COMPLETE SECURITY DESC-ASYMPTOTICALLY ."
57811,"we need to take some fundamental rules into account , both outside and inside parliament .","X-WE NEED TO TAKE SOME DESC-FUNDAMENTAL RULE INTO ACCOUNT , BOTH OUTSIDE AND INSIDE PARLIAMENT ."
57812,"therefore , it is necessary for us to introduce advanced body scanners which work according to a specific principle .","DESC-REFORE , X-IT BE DESC-NECESSARY FOR X-WE TO INTRODUCE ADVANCE BODY SCANNER WHICH WORK ACCORD TO SPECIFIC PRINCIPLE ."
57813,"of course , it is obvious that personal rights must be protected .","COURSE , X-IT BE DESC-OBVIOUS THAT DESC-PERSONAL RIGHTS MUST BE PROTECT ."
57814,there are a number of factors to be taken into account in this area .,DESC-RE BE NUMBER FACTOR TO BE TAKE INTO ACCOUNT IN THIS AREA .
57815,"mr president , you said that there were three commissioners who are responsible here .","MR PRESIDENT , X-YOU SAY THAT DESC-RE BE THREE COMMISSIONER WHO BE DESC-RESPONSIBLE DESC-HERE ."
57816,we are very happy about this .,X-WE BE DESC-VERY DESC-HAPPY ABOUT THIS .
57817,may I quote the only one who is not here .,MAY X-I QUOTE DESC-ONLY ONE WHO BE DESC-NOT DESC-HERE .
57818,that is exactly the kind of statement we should be making at this early stage .,THAT BE DESC-EXACTLY KIND STATEMENT X-WE SHOULD BE MAKE AT THIS DESC-EARLY STAGE .
57819,this is a serious fight .,THIS BE DESC-SERIOUS FIGHT .
57820,i have been stopped many times at airports .,X-I HAVE BE STOP DESC-MANY TIME AT AIRPORT .
57821,"mr president , I want to talk about respect for the rule of law by intelligence services .","MR PRESIDENT , X-I WANT TO TALK ABOUT RESPECT FOR RULE LAW BY INTELLIGENCE SERVICE ."
57822,a ruling today by the uk court of appeal has blasted open the british government's attempt at secrecy .,RULING TODAY BY UK COURT APPEAL HAVE BLAST DESC-OPEN BRITISH GOVERNMENT X-POSS ATTEMPT AT SECRECY .
57823,"in 2006 , I led the mep delegation from our temporary committee on extraordinary rendition and torture to london .","IN 2006 , X-I LEAD MEP DELEGATION FROM X-WE DESC-TEMPORARY COMMITTEE ON DESC-EXTRAORDINARY RENDITION AND TORTURE TO LONDON ."
57824,"he owes me and , more importantly , the british and european public , an apology .","X-HE OWE X-I AND , MORE DESC-IMPORTANTLY , BRITISH AND EUROPEAN PUBLIC , APOLOGY ."
57825,"mr president , back to body scanners .","MR PRESIDENT , DESC-BACK TO BODY SCANNER ."
57826,i remain of the view that any measure which increases security for the travelling public must be welcomed .,X-I REMAIN VIEW THAT ANY MEASURE WHICH INCREASE SECURITY FOR TRAVEL PUBLIC MUST BE DESC-WELCOME .
57827,i fundamentally object to that policy .,X-I DESC-FUNDAMENTALLY OBJECT TO THAT POLICY .
57828,some experts have already said that the explosives used would not have been detected by such scanners .,SOME EXPERT HAVE DESC-ALREADY SAY THAT DESC-EXPLOSIVE USE WOULD DESC-NOT HAVE BE DETECT BY DESC-SUCH SCANNER .
57829,so much for body scanners .,DESC-SO DESC-MUCH FOR BODY SCANNER .
57830,"eight years later , in 2008 , the figure had reached 16 000 people .","EIGHT YEAR DESC-LATER , IN 2008 , FIGURE HAVE REACH 16 000 PEOPLE ."
57831,"in comparison , 6 000 people die of aids every day .","IN COMPARISON , 6 000 PEOPLE DIE AID EVERY DAY ."
57832,what do these figures tell us ?,WHAT DO SE FIGURE TELL X-WE ?
57833,"secondly , the war on terror has failed .","DESC-SECONDLY , WAR ON TERROR HAVE FAIL ."
57834,it has only succeeded in increasing the problem .,X-IT HAVE DESC-ONLY SUCCEED IN INCREASE PROBLEM .
57835,we must push forward with the development of this interface and it must be financed by the commission .,X-WE MUST PUSH DESC-FORWARD WITH DEVELOPMENT THIS INTERFACE AND X-IT MUST BE FINANCE BY COMMISSION .
57836,"we should anticipate events , but we do not .","X-WE SHOULD ANTICIPATE EVENT , BUT X-WE DO DESC-NOT ."
57837,"taking a decision on body scanners in airports is a responsibility that we cannot avoid , ladies and gentlemen .","TAKE DECISION ON BODY SCANNER IN AIRPORT BE RESPONSIBILITY THAT X-WE CAN DESC-NOT AVOID , LADY AND GENTLEMAN ."
57838,we cannot wait any longer because the terrorists are not waiting .,X-WE CAN DESC-NOT WAIT ANY DESC-LONGER BECAUSE DESC-TERRORIST BE DESC-NOT WAIT .
57839,"once this is guaranteed , we must adopt decisions for the european union as a whole .","DESC-ONCE THIS BE GUARANTEE , X-WE MUST ADOPT DECISION FOR EUROPEAN UNION AS WHOLE ."
57840,"however , there are also three institutional elements .","DESC-HOWEVER , DESC-RE BE DESC-ALSO THREE DESC-INSTITUTIONAL ELEMENT ."
57841,"the first is cosi , the standing committee on internal security .","DESC-FIRST BE COSUS , STANDING COMMITTEE ON DESC-INTERNAL SECURITY ."
57842,"fr mr president , one of the means of preventing terrorism is information .","FR MR PRESIDENT , ONE MEANS PREVENT TERRORISM BE INFORMATION ."
57843,"even then , information needs to circulate .","DESC-EVEN DESC-N , INFORMATION NEED TO CIRCULATE ."
57844,is this really the case today ?,BE THIS DESC-REALLY CASE TODAY ?
57845,nothing is less certain .,NOTHING BE DESC-LESS DESC-CERTAIN .
57846,do the us intelligence services keep their european counterparts up to date ?,DO X-WE INTELLIGENCE SERVICE KEEP X-Y EUROPEAN COUNTERPART DESC-UP TO DATE ?
57847,a parliamentary supervisory body on the matter is urgently required .,DESC-PARLIAMENTARY DESC-SUPERVISORY BODY ON MATTER BE DESC-URGENTLY REQUIRE .
57848,this entails the creation of a parliamentary supervisory committee within the european parliament .,THIS ENTAIL CREATION DESC-PARLIAMENTARY DESC-SUPERVISORY COMMITTEE WITHIN EUROPEAN PARLIAMENT .
57849,"i wonder , and I ask parliament do we want a debate on terrorism ?","X-I WONDER , AND X-I ASK PARLIAMENT DO X-WE WANT DEBATE ON TERRORISM ?"
57850,it seems that no one is willing to deal with the subject .,X-IT SEEM THAT NO ONE BE DESC-WILLING TO DEAL WITH SUBJECT .
57851,we talk here about the cooperation of the security forces .,X-WE TALK DESC-HERE ABOUT COOPERATION SECURITY FORCE .
57852,we need to support our security forces with the equipment they need to prevent terrorism .,X-WE NEED TO SUPPORT X-WE SECURITY FORCE WITH EQUIPMENT X-Y NEED TO PREVENT TERRORISM .
57853,"believe me , terrorism destroys lives and shatters communities .","BELIEVE X-I , TERRORISM DESTROY LIFE AND SHATTER COMMUNITY ."
57854,i have even heard in this chamber today that terrorism is hysteria .,X-I HAVE DESC-EVEN HEAR IN THIS CHAMBER TODAY THAT TERRORISM BE HYSTERIA .
57855,what utter nonsense !,WHAT DESC-UTTER NONSENSE !
57856,there are legitimate concerns about body scanners .,DESC-RE BE DESC-LEGITIMATE CONCERN ABOUT BODY SCANNER .
57857,i hope that three of them will be resolved by the studies that the commission is carrying out .,X-I HOPE THAT THREE X-Y WILL BE RESOLVE BY STUDY THAT COMMISSION BE CARRY OUT .
57858,i ask that they conclude them promptly and refer them to parliament .,X-I ASK THAT X-Y CONCLUDE X-Y DESC-PROMPTLY AND REFER X-Y TO PARLIAMENT .
57859,"firstly , is it necessary and effective ?","DESC-FIRSTLY , BE X-IT DESC-NECESSARY AND DESC-EFFECTIVE ?"
57860,"secondly , is it or is it not harmful to health ?","DESC-SECONDLY , BE X-IT OR BE X-IT DESC-NOT DESC-HARMFUL TO HEALTH ?"
57861,"thirdly , does it or does it not violate the privacy and dignity of individuals ?","DESC-THIRDLY , DO X-IT OR DO X-IT DESC-NOT VIOLATE PRIVACY AND DIGNITY INDIVIDUAL ?"
57862,"there are , however , other concerns .","DESC-RE BE , DESC-HOWEVER , DESC-OR CONCERN ."
57863,initially we were told that it would be optional .,DESC-INITIALLY X-WE BE TELL THAT X-IT WOULD BE DESC-OPTIONAL .
57864,people could choose between submitting themselves to the scanners or to the old system of a personal check .,PEOPLE COULD CHOOSE BETWEEN SUBMIT X-MSELVES TO SCANNER OR TO DESC-OLD SYSTEM DESC-PERSONAL CHECK .
57865,i have two questions concerning body scanners .,X-I HAVE TWO QUESTION CONCERN BODY SCANNER .
57866,"in terms of security , do these scanners make it possible today to really guarantee security conditions ?","IN TERM SECURITY , DO SE SCANNER MAKE X-IT DESC-POSSIBLE TODAY TO DESC-REALLY GUARANTEE SECURITY CONDITION ?"
57867,"mr president , terrorism is defined as the use of violence and intimidation to achieve political ends .","MR PRESIDENT , TERRORISM BE DEFINE AS USE VIOLENCE AND INTIMIDATION TO ACHIEVE DESC-POLITICAL END ."
57868,"those of us who value peace , freedom and democracy ought to be concerned about terrorism because it works .","THOSE X-WE WHO VALUE PEACE , FREEDOM AND DEMOCRACY OUGHT TO BE CONCERN ABOUT TERRORISM BECAUSE X-IT WORK ."
57869,sinn féin / ira now hold posts in the government of northern ireland .,SINN F?IN IRA DESC-NOW HOLD POST IN GOVERNMENT DESC-NORRN IRELAND .
57870,"they bombed , shot and murdered their way to success at the ballot box .","X-Y BOMB , SHOT AND MURDER X-Y WAY TO SUCCESS AT BALLOT BOX ."
57871,"what better examples of successful terrorism are there than those of communism in russia , eastern europe and asia ?","WHAT DESC-BETTER EXAMPLE DESC-SUCCESSFUL TERRORISM BE DESC-RE THAN THOSE COMMUNISM IN RUSSIUM , DESC-EASTERN EUROPE AND ASIA ?"
57872,china is still terrorised by the chinese communist party after 61 years of power .,CHINA BE DESC-STILL TERRORISE BY CHINESE COMMUNIST PARTY AFTER 61 YEAR POWER .
57873,no greater example of successful terrorism exists than that .,NO DESC-GREATER EXAMPLE DESC-SUCCESSFUL TERRORISM EXIST THAN THAT .
57874,"and , of course , the president of the european commission , mr barroso , is a former maoist .","AND , COURSE , PRESIDENT EUROPEAN COMMISSION , MR BARROSO , BE DESC-FORMER MAOIST ."
57875,no doubt future terrorists will find this all extremely encouraging .,NO DOUBT FUTURE DESC-TERRORIST WILL FIND THIS ALL DESC-EXTREMELY ENCOURAGE .
57876,some governments have legitimately started to test body scanners on more sensitive routes .,SOME GOVERNMENT HAVE DESC-LEGITIMATELY START TO TEST BODY SCANNER ON MORE DESC-SENSITIVE ROUTE .
57877,"of course we must defend personal rights , but without preying on people's fears .","COURSE X-WE MUST DEFEND DESC-PERSONAL RIGHTS , BUT WITHOUT PREY ON PEOPLE X-POSS FEAR ."
57878,"ladies and gentlemen , we now come to catch the eye .","LADY AND GENTLEMAN , X-WE DESC-NOW COME TO CATCH EYE ."
57879,these are the names I will call out .,SE BE NAME X-I WILL CALL OUT .
57880,i will simply stop the microphone after one minute .,X-I WILL DESC-SIMPLY STOP MICROPHONE AFTER ONE MINUTE .
57881,"i will not bang my gavel , I will not beg and I do not want to be misunderstood .","X-I WILL DESC-NOT BANG X-MY GAVEL , X-I WILL DESC-NOT BEG AND X-I DO DESC-NOT WANT TO BE MISUNDERSTAND ."
57882,i shall call the speakers in the order that I have,X-I SHALL CALL SPEAKER IN ORDER THAT X-I HAVE
57883,mr zasada,MR ZASADA
57884,mr iacolino,MR IACOLINO
57885,mr matula,MR MATULUM
57886,mr leichtfried,MR LEICHTFRY
57887,mr enciu,MR ENCIU
57888,ms flašíková beňová,OV ? ??
57889,mr tannock,MR TANNOCK
57890,ms ernst,M ERNST
57891,ms rivasi,M RIVASUS
57892,and mr mölzer .,LZER . M ?
57893,"one minute each , and that is it .","ONE MINUTE EACH , AND THAT BE X-IT ."
57894,apologies to the rest of you .,APOLOGY TO REST X-YOU .
57895,use of this type of equipment still leaves a series of unanswered questions .,USE THIS TYPE EQUIPMENT DESC-STILL LEAVE SERIES DESC-UNANSWERED QUESTION .
57896,what effect do the scanners have on the health of passengers who are scanned ?,WHAT EFFECT DO SCANNER HAVE ON HEALTH PASSENGER WHO BE SCAN ?
57897,how will protection of the images of people who are scanned be guaranteed ?,HOW WILL PROTECTION IMAGE PEOPLE WHO BE SCAN BE GUARANTEE ?
57898,it is no longer possible for individual member states to do what they want .,X-IT BE NO DESC-LONGER DESC-POSSIBLE FOR INDIVIDUAL MEMBER STATE TO DO WHAT X-Y WANT .
57899,this applies in particular to body scanners .,THIS APPLY IN DESC-PARTICULAR TO BODY SCANNER .
57900,the public are less aware of the effects of terahertz radiation .,PUBLIC BE DESC-LESS DESC-AWARE EFFECT TERAHERTZ RADIATION .
57901,"sk terrorism has no values , nor does it have any deeper meaning .","SK TERRORISM HAVE NO VALUE , NOR DO X-IT HAVE ANY DESC-DEEPER MEANING ."
57902,the only aim of terrorism is death .,DESC-ONLY AIM TERRORISM BE DEATH .
57903,death of civilians at the lowest possible cost .,DEATH DESC-CIVILIAN AT DESC-LOWEST DESC-POSSIBLE COST .
57904,this is perhaps the story of various suicide attackers .,THIS BE DESC-PERHAPS STORY DESC-VARIOUS SUICIDE ATTACKER .
57905,"instead , I argue we should bring on israeli style profiling of passengers .","DESC-INSTEAD , X-I ARGUE X-WE SHOULD BRING ON ISRAELI STYLE PROFILE PASSENGER ."
57906,we need to ask ourselves two questions .,X-WE NEED TO ASK X-OURSELVES TWO QUESTION .
57907,we do not currently have any clear answers to this question .,X-WE DO DESC-NOT DESC-CURRENTLY HAVE ANY DESC-CLEAR ANSWER TO THIS QUESTION .
57908,i would like to see this assessment completed before we do anything else .,X-I WOULD LIKE TO SEE THIS ASSESSMENT DESC-COMPLETE BEFORE X-WE DO ANYTHING DESC-ELSE .
57909,the second question concerns the risks to health .,DESC-SECOND QUESTION CONCERN RISK TO HEALTH .
57910,i would have to do so at least twice a week .,X-I WOULD HAVE TO DO DESC-SO AT DESC-LEAST DESC-TWICE WEEK .
57911,this is a long term measure and I would like to know to what extent it will harm my health .,THIS BE DESC-LONG TERM MEASURE AND X-I WOULD LIKE TO KNOW TO WHAT EXTENT X-IT WILL HARM X-MY HEALTH .
57912,no real assessments have been carried out in this area .,NO DESC-REAL ASSESSMENT HAVE BE CARRY OUT IN THIS AREA .
57913,"therefore , I am calling for clear answers and not for hasty reactions .","DESC-REFORE , X-I BE CALL FOR DESC-CLEAR ANSWER AND DESC-NOT FOR DESC-HASTY REACTION ."
57914,"indeed , we should be aware that frequent exposure to low doses of radiation can cause cancers and malformations .","DESC-INDEED , X-WE SHOULD BE DESC-AWARE THAT DESC-FREQUENT EXPOSURE TO DESC-LOW DOSE RADIATION CAN CAUSE CANCER AND MALFORMATION ."
57915,my question therefore concerns justification of the risks .,X-MY QUESTION DESC-REFORE CONCERN JUSTIFICATION RISK .
57916,"despite this , the usefulness of the various anti terrorism measures has never been called into question .","DESPITE THIS , USEFULNESS DESC-VARIOUS ANTI TERRORISM MEASURE HAVE DESC-NEVER BE CALL INTO QUESTION ."
57917,"instead , every attack is followed by further restrictions on civil rights and liberties .","DESC-INSTEAD , EVERY ATTACK BE FOLLOW BY DESC-FURR RESTRICTION ON DESC-CIVIL RIGHTS AND LIBERTY ."
57918,"mr president , I have listened carefully to the speeches by all the groups and members on this topic .","MR PRESIDENT , X-I HAVE LISTEN DESC-CAREFULLY TO SPEECH BY ALL GROUP AND MEMBER ON THIS TOPIC ."
57919,"we have heard some extremely interesting views , and I welcome them .","X-WE HAVE HEAR SOME DESC-EXTREMELY DESC-INTERESTING VIEW , AND X-I DESC-WELCOME X-Y ."
57920,"if we adopt measures that will undermine our principles , we are probably making a serious mistake .","IF X-WE ADOPT MEASURE THAT WILL UNDERMINE X-WE PRINCIPLE , X-WE BE DESC-PROBABLY MAKE DESC-SERIOUS MISTAKE ."
57921,europe has a strategy for its counter terrorism policy .,EUROPE HAVE STRATEGY FOR X-ITS DESC-COUNTER TERRORISM POLICY .
57922,"we have an important figure , a counter terrorism coordinator , whose speeches are very interesting .","X-WE HAVE DESC-IMPORTANT FIGURE , DESC-COUNTER TERRORISM COORDINATOR , WHOSE SPEECH BE DESC-VERY DESC-INTERESTING ."
57923,"that is why we are focusing our common efforts , as I said , on prevention .","THAT BE WHY X-WE BE FOCUS X-WE DESC-COMMON EFFORT , AS X-I SAY , ON PREVENTION ."
57924,we are also keen to ensure the correct exchange of information .,X-WE BE DESC-ALSO DESC-KEEN TO ENSURE DESC-CORRECT EXCHANGE INFORMATION .
57925,this has been emphasised in the house on various occasions .,THIS HAVE BE EMPHASISE IN HOUSE ON DESC-VARIOUS OCCASION .
57926,that is the information that needs to be transmitted .,THAT BE INFORMATION THAT NEED TO BE TRANSMIT .
57927,there have been significant improvements recently in the european union in that regard .,DESC-RE HAVE BE DESC-SIGNIFICANT IMPROVEMENT DESC-RECENTLY IN EUROPEAN UNION IN THAT REGARD .
57928,"ideally , we will be able to decide on a common solution at european level .","DESC-IDEALLY , X-WE WILL BE DESC-ABLE TO DECIDE ON DESC-COMMON SOLUTION AT EUROPEAN LEVEL ."
57929,"however , there is little doubt that a common position on this matter would be extraordinarily helpful .","DESC-HOWEVER , DESC-RE BE DESC-LITTLE DOUBT THAT DESC-COMMON POSITION ON THIS MATTER WOULD BE DESC-EXTRAORDINARILY DESC-HELPFUL ."
57930,i believe these are the three topics that we need to examine .,X-I BELIEVE SE BE THREE TOPIC THAT X-WE NEED TO EXAMINE .
57931,"once the reports are available , we will adopt a common position , which I believe is necessary .","DESC-ONCE REPORT BE DESC-AVAILABLE , X-WE WILL ADOPT DESC-COMMON POSITION , WHICH X-I BELIEVE BE DESC-NECESSARY ."
57932,"mr president , I asked a direct question to the council and I would like an answer .","MR PRESIDENT , X-I ASK DESC-DIRECT QUESTION TO COUNCIL AND X-I WOULD LIKE ANSWER ."
57933,"terrorism develops and we , too , must use all technological developments to defend our citizens and passengers .","TERRORISM DEVELOP AND X-WE , DESC-TOO , MUST USE ALL DESC-TECHNOLOGICAL DEVELOPMENT TO DEFEND X-WE CITIZEN AND PASSENGER ."
57934,so do not demonise new technologies .,DESC-SO DO DESC-NOT DEMONISE DESC-NEW TECHNOLOGY .
57935,so this is what we will do in the near future .,DESC-SO THIS BE WHAT X-WE WILL DO IN NEAR FUTURE .
57936,we will come with a report and then we will continue this discussion .,X-WE WILL COME WITH REPORT AND DESC-N X-WE WILL CONTINUE THIS DISCUSSION .
57937,"member of the commission . mr president , this is indeed an extremely important debate .","MR PRESIDENT , THIS BE DESC-INDEED DESC-EXTREMELY DESC-IMPORTANT DEBATE ."
57938,counter terrorism is an important tool for fighting terrorism .,DESC-COUNTER TERRORISM BE DESC-IMPORTANT TOOL FOR FIGHT TERRORISM .
57939,i agree with certain members who have said that .,X-I AGREE WITH DESC-CERTAIN MEMBER WHO HAVE SAY THAT .
57940,there are certainly measures for doing that .,DESC-RE BE DESC-CERTAINLY MEASURE FOR DO THAT .
57941,this is totally natural .,THIS BE DESC-TOTALLY DESC-NATURAL .
57942,we will do this .,X-WE WILL DO THIS .
57943,we will also have to give full consideration to respect for fundamental rights .,X-WE WILL DESC-ALSO HAVE TO GIVE DESC-FULL CONSIDERATION TO RESPECT FOR DESC-FUNDAMENTAL RIGHTS .
57944,so this is how this commission will work .,DESC-SO THIS BE HOW THIS COMMISSION WILL WORK .
57945,thank you very much for an important and very engaging debate .,THANK X-YOU DESC-VERY DESC-MUCH FOR DESC-IMPORTANT AND DESC-VERY ENGAGE DEBATE .
57946,terrorism remains a high level threat in the european union .,TERRORISM REMAIN DESC-HIGH LEVEL THREAT IN EUROPEAN UNION .
57947,the use of body scanners is a delicate issue .,USE BODY SCANNER BE DESC-DELICATE ISSUE .
57948,i think that there are important factors which must be examined carefully before making a decision on this .,X-I THINK THAT DESC-RE BE DESC-IMPORTANT FACTOR WHICH MUST BE EXAMINE DESC-CAREFULLY BEFORE MAKE DECISION ON THIS .
57949,the european commission is due to produce three studies on the use and effects of body scanners .,EUROPEAN COMMISSION BE DESC-DUE TO PRODUCE THREE STUDY ON USE AND EFFECT BODY SCANNER .
57950,i have always taken the stand that it is a question of priorities .,X-I HAVE DESC-ALWAYS TAKE STAND THAT X-IT BE QUESTION PRIORITY .
57951,it is a question whether passengers are prepared to sacrifice their discomfort for their safety .,X-IT BE QUESTION WHER PASSENGER BE PREPARE TO SACRIFICE X-Y DISCOMFORT FOR X-Y SAFETY .
57952,civil liberty groups have the duty to weigh all new measures being advocated .,DESC-CIVIL LIBERTY GROUP HAVE DUTY TO WEIGH ALL DESC-NEW MEASURE BE ADVOCATE .
57953,those proposing new measures such as body scanners have the duty to prove their necessity .,THOSE PROPOSE DESC-NEW MEASURE DESC-SUCH AS BODY SCANNER HAVE DUTY TO PROVE X-Y NECESSITY .
57954,"although solutions are normally based on compromise , in this instance , compromises may not be possible .","ALTHOUGH SOLUTION BE DESC-NORMALLY BASE ON COMPROMISE , IN THIS INSTANCE , COMPROMISE MAY DESC-NOT BE DESC-POSSIBLE ."
57955,"it is apparent that current procedures , in particular , body searches , are not sufficient .","X-IT BE DESC-APPARENT THAT DESC-CURRENT PROCEDURE , IN DESC-PARTICULAR , BODY SEARCH , BE DESC-NOT DESC-SUFFICIENT ."
57956,it has been established that body scanners are more effective .,X-IT HAVE BE ESTABLISH THAT BODY SCANNER BE MORE DESC-EFFECTIVE .
57957,the problem is that they may offend passengersdignity .,PROBLEM BE THAT X-Y MAY OFFEND PASSENGERSDIGNITY .
57958,"therefore , this is the issue which has to be addressed .","DESC-REFORE , THIS BE ISSUE WHICH HAVE TO BE ADDRESS ."
57959,many possibilities exist .,DESC-MANY POSSIBILITY EXIST .
57960,"for instance , different body scanners for different genders manned by personnel of the same gender .","FOR INSTANCE , DESC-DIFFERENT BODY SCANNER FOR DESC-DIFFERENT GENDER MAN BY PERSONNEL DESC-SAME GENDER ."
57961,"therefore , once we have evaluated the existing situation , we must continue our work in this sensitive area .","DESC-REFORE , DESC-ONCE X-WE HAVE EVALUATE EXIST SITUATION , X-WE MUST CONTINUE X-WE WORK IN THIS DESC-SENSITIVE AREA ."
